Configuration,sensitivity,specificity,ppv,npv,balanced_accuracy,brier_score
raw_none_knn,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11558262590304291
raw_none_svm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.13650668501199587
raw_none_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.12668215476740066
raw_none_lgbm,0.7857142857142857,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8340336134453781,0.1219554895971036
raw_none_xgb,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.1497347142955478
raw_none_ada,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.1507090283805482
raw_none_gb,0.7857142857142857,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8340336134453781,0.13046018314349178
raw_smote_knn,0.9285714285714286,0.7647058823529411,0.7647058823529411,0.9285714285714286,0.8466386554621849,0.13095939095872333
raw_smote_logistic,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.13411633784498328
raw_smote_svm,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.14950035713315044
raw_smote_lgbm,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.15960564177189712
raw_smote_xgb,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.167233127746314
raw_smote_ada,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.16015779974464806
raw_smote_gb,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.11966266752183011
fe_none_knn,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.09900658555642368
fe_none_svm,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.10827556380735398
fe_none_logistic,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10592023298925882
fe_none_lgbm,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10929043805422259
fe_none_xgb,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10135580257740189
fe_none_gb,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11204157646914449
fe_none_ada,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.17090025729850777
fe_smote_knn,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.10000609793280078
fe_smote_svm,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10832536977398853
fe_smote_logistic,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.11007550406269377
fe_smote_lgbm,0.7857142857142857,0.8823529411764706,0.8461538461538461,0.8333333333333334,0.8340336134453781,0.11424335681261126
fe_smote_xgb,0.8571428571428571,0.8823529411764706,0.8571428571428571,0.8823529411764706,0.8697478991596639,0.12172775757484057
fe_smote_ada,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.13121450632639403
fe_smote_gb,0.7857142857142857,0.8235294117647058,0.7857142857142857,0.8235294117647058,0.8046218487394958,0.18489035032018494
dt_none_knn,0.8571428571428571,0.8235294117647058,0.8,0.875,0.8403361344537814,0.10591763587155292
dt_none_svm,0.8571428571428571,0.7647058823529411,0.75,0.8666666666666667,0.8109243697478992,0.143703165075371
dt_none_lgbm,0.7857142857142857,0.7647058823529411,0.7333333333333333,0.8125,0.7752100840336134,0.14798179832112465
