Configuration,Dataset,Imbalance,Model,accuracy,precision,recall,f1,specificity,roc_auc
raw_none_xgb,raw,none,xgb,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.907563025210084
raw_none_ada,raw,none,ada,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9579831932773109
fe_dt_none_knn,fe_dt,none,knn,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9579831932773109
fe_smote_xgb,fe,smote,xgb,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9369747899159664
fe_none_svm,fe,none,svm,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9327731092436974
raw_smote_gb,raw,smote,gb,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9159663865546218
fe_dt_none_xgb,fe_dt,none,xgb,0.8709677419354839,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8823529411764706,0.9243697478991596
raw_smote_knn,raw,smote,knn,0.8387096774193549,0.7647058823529411,0.9285714285714286,0.8387096774193549,0.7647058823529411,0.9012605042016807
fe_dt_smote_xgb,fe_dt,smote,xgb,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9201680672268907
raw_none_knn,raw,none,knn,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9201680672268907
fe_dt_smote_gb,fe_dt,smote,gb,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714286
dt_smote_ada,dt,smote,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9201680672268907
fe_none_lgbm,fe,none,lgbm,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714285
fe_none_logistic,fe,none,logistic,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9453781512605042
fe_smote_ada,fe,smote,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714286
dt_smote_knn,dt,smote,knn,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9411764705882353
dt_none_ada,dt,none,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9201680672268907
dt_none_knn,dt,none,knn,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9432773109243697
fe_smote_svm,fe,smote,svm,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9369747899159664
fe_smote_logistic,fe,smote,logistic,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714285
fe_none_knn,fe,none,knn,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9495798319327731
fe_none_gb,fe,none,gb,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714286
fe_none_xgb,fe,none,xgb,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9327731092436975
fe_dt_none_logistic,fe_dt,none,logistic,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9453781512605042
master_boruta_none_ada,master_boruta,none,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9201680672268907
fe_dt_smote_logistic,fe_dt,smote,logistic,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9453781512605042
dt_smote_xgb,dt,smote,xgb,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9033613445378151
fe_dt_smote_ada,fe_dt,smote,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9369747899159664
master_boruta_smote_ada,master_boruta,smote,ada,0.8387096774193549,0.8,0.8571428571428571,0.8275862068965517,0.8235294117647058,0.9285714285714286
raw_none_lgbm,raw,none,lgbm,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8823529411764706,0.9159663865546218
master_boruta_smote_xgb,master_boruta,smote,xgb,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8823529411764706,0.8697478991596639
raw_none_gb,raw,none,gb,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8823529411764706,0.907563025210084
fe_smote_lgbm,fe,smote,lgbm,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8823529411764706,0.9327731092436975
master_boruta_none_xgb,master_boruta,none,xgb,0.8387096774193549,0.8461538461538461,0.7857142857142857,0.8148148148148148,0.8823529411764706,0.8613445378151261
master_boruta_smote_logistic,master_boruta,smote,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.9033613445378151
raw_none_logistic,raw,none,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.9201680672268906
dt_none_logistic,dt,none,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8949579831932772
dt_smote_logistic,dt,smote,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8823529411764706
raw_smote_logistic,raw,smote,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.9201680672268906
master_boruta_none_gb,master_boruta,none,gb,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.9033613445378151
fe_smote_knn,fe,smote,knn,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.9474789915966386
raw_smote_svm,raw,smote,svm,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8739495798319328
dt_none_svm,dt,none,svm,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8865546218487395
master_boruta_none_logistic,master_boruta,none,logistic,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8697478991596639
fe_dt_smote_knn,fe_dt,smote,knn,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.8823529411764706
fe_dt_none_svm,fe_dt,none,svm,0.8064516129032258,0.75,0.8571428571428571,0.8,0.7647058823529411,0.953781512605042
raw_none_svm,raw,none,svm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8949579831932772
raw_smote_ada,raw,smote,ada,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8214285714285714
master_boruta_none_lgbm,master_boruta,none,lgbm,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8823529411764706
dt_none_gb,dt,none,gb,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8907563025210085
fe_smote_gb,fe,smote,gb,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.861344537815126
raw_smote_xgb,raw,smote,xgb,0.8064516129032258,0.7857142857142857,0.7857142857142857,0.7857142857142857,0.8235294117647058,0.8949579831932774
